menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T08:44:47.514153600Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T08:59:39.299452500Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T09:00:06.940715Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T23:46:38.341495200Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T23:46:42.032219800Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T23:59:04.584487100Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T00:00:04.853951300Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T00:00:04.890742200Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T00:00:08.001779800Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T00:00:08.011781500Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T00:25:31.229060700Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T00:28:57.081200800Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T00:34:50.439005900Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T00:38:04.918951900Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T00:38:28.434016300Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T00:49:20.774657400Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T01:17:54.589921700Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T01:18:17.583816500Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T01:19:22.384774400Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T01:20:50.190782600Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T01:23:01.089283500Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T01:28:02.208719100Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T01:30:11.050752900Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T01:34:54.009297900Z
